,Clothing ID,Division Name,Department Name,Class Name
2768,972,General,Jackets,Jackets
2775,827,General,Tops,Blouses
2778,997,General Petite,Bottoms,Skirts
2792,491,Initmates,Intimate,Layering
2810,843,General,Tops,Blouses
2812,869,General,Tops,Knits
2814,521,Initmates,Intimate,Swim
2817,1084,General Petite,Dresses,Dresses
2818,486,Initmates,Intimate,Sleep
2822,788,Initmates,Intimate,Lounge
2827,1093,General Petite,Dresses,Dresses
2830,1050,General Petite,Bottoms,Pants
2834,1004,General,Bottoms,Skirts
2843,20,General,Dresses,Dresses
2844,1125,General,Jackets,Outerwear
2846,212,Initmates,Intimate,Swim
2848,429,General,Bottoms,Shorts
2858,573,General Petite,Trend,Trend
2899,890,General,Tops,Fine gauge
2946,288,Initmates,Intimate,Intimates
2949,1090,General Petite,Dresses,Dresses
2995,999,General,Bottoms,Skirts
2997,302,Initmates,Intimate,Swim
3041,781,Initmates,Intimate,Lounge
3053,505,Initmates,Intimate,Sleep
3073,374,General Petite,Intimate,Lounge
3074,153,Initmates,Intimate,Legwear
3105,906,General Petite,Tops,Fine gauge
3108,285,Initmates,Intimate,Intimates
3117,933,General,Tops,Sweaters
3146,506,Initmates,Intimate,Sleep
3152,412,Initmates,Intimate,Intimates
3166,546,General,Bottoms,Shorts
3225,380,Initmates,Intimate,Swim
3231,543,General,Bottoms,Shorts
3250,1043,General,Bottoms,Pants
3251,787,Initmates,Intimate,Sleep
3256,512,Initmates,Intimate,Sleep
3288,422,Initmates,Intimate,Lounge
3294,931,General,Tops,Sweaters
3341,883,General,Tops,Knits
3350,458,Initmates,Intimate,Sleep
3386,986,General Petite,Jackets,Jackets
3416,1056,General Petite,Bottoms,Pants
3441,683,Initmates,Intimate,Lounge
3478,959,General Petite,Jackets,Jackets
3480,1156,Initmates,Intimate,Swim
3496,468,Initmates,Intimate,Swim
3498,1070,General,Bottoms,Pants
3514,955,General,Jackets,Jackets
3521,797,Initmates,Intimate,Lounge
3525,929,General,Tops,Sweaters
3547,652,Initmates,Intimate,Lounge
3552,1147,General,Trend,Trend
3557,1031,General,Bottoms,Jeans
3562,433,General,Bottoms,Shorts
3572,813,Initmates,Intimate,Sleep
3580,950,General,Tops,Sweaters
3651,965,General,Jackets,Jackets
3675,547,Initmates,Intimate,Layering
3703,308,Initmates,Intimate,Lounge
3741,464,Initmates,Intimate,Swim
3755,613,Initmates,Intimate,Swim
3758,1091,General,Dresses,Dresses
3760,1195,General,Dresses,Dresses
3799,636,General Petite,Intimate,Lounge
3801,232,Initmates,Intimate,Sleep
3813,792,Initmates,Intimate,Sleep
3825,135,General Petite,Bottoms,Pants
3828,716,Initmates,Intimate,Legwear
3858,932,General,Tops,Sweaters
3865,1063,General,Bottoms,Pants
3909,1135,General,Trend,Trend
3912,460,General,Bottoms,Shorts
3956,448,General,Bottoms,Shorts
3965,257,Initmates,Intimate,Lounge
4001,270,Initmates,Intimate,Swim
4017,1117,General Petite,Jackets,Outerwear
4092,319,Initmates,Intimate,Swim
4094,855,General Petite,Tops,Knits
4106,121,Initmates,Intimate,Layering
4132,908,General Petite,Tops,Fine gauge
4134,144,Initmates,Intimate,Legwear
4140,648,Initmates,Intimate,Lounge
4150,1064,General,Bottoms,Pants
4156,1029,General Petite,Bottoms,Jeans
4157,56,Initmates,Intimate,Intimates
4162,1114,General,Jackets,Outerwear
4164,173,Initmates,Intimate,Intimates
4172,413,Initmates,Intimate,Sleep
4188,203,Initmates,Intimate,Lounge
4218,889,General,Tops,Fine gauge
4225,624,Initmates,Intimate,Lounge
4434,689,Initmates,Intimate,Lounge
4445,107,Initmates,Intimate,Sleep
4476,1038,General,Bottoms,Jeans
4486,1109,General,Dresses,Dresses
4530,495,General,Bottoms,Shorts
4533,801,Initmates,Intimate,Lounge
4539,1187,General,Tops,Knits
4556,50,Initmates,Intimate,Intimates
4597,1014,General Petite,Bottoms,Skirts
4601,570,General,Trend,Trend
4606,782,Initmates,Intimate,Lounge
4608,1006,General,Bottoms,Skirts
4612,54,General,Bottoms,Casual bottoms
4615,963,General,Jackets,Jackets
4650,871,General Petite,Tops,Knits
4654,1048,General Petite,Bottoms,Pants
4692,954,General,Tops,Sweaters
4711,826,General Petite,Tops,Blouses
4720,381,Initmates,Intimate,Swim
4735,273,Initmates,Intimate,Sleep
4812,904,General,Tops,Fine gauge
4819,306,General Petite,Bottoms,Pants
4828,327,Initmates,Intimate,Swim
4842,538,Initmates,Intimate,Layering
4879,463,Initmates,Intimate,Layering
4891,363,Initmates,Intimate,Layering
4953,1021,General,Bottoms,Skirts
5002,562,General,Trend,Trend
5010,675,Initmates,Intimate,Lounge
5021,334,Initmates,Intimate,Swim
5108,678,Initmates,Intimate,Sleep
5111,978,General Petite,Jackets,Jackets
5172,373,Initmates,Intimate,Intimates
5201,238,Initmates,Intimate,Swim
5270,404,Initmates,Intimate,Swim
5290,783,Initmates,Intimate,Sleep
5305,751,Initmates,Intimate,Lounge
5308,585,Initmates,Intimate,Layering
5334,272,Initmates,Intimate,Swim
5336,1058,General,Bottoms,Pants
5348,1142,General,Trend,Trend
5385,1005,General,Bottoms,Skirts
5486,462,Initmates,Intimate,Swim
5502,330,Initmates,Intimate,Sleep
5512,974,General Petite,Jackets,Jackets
5543,730,Initmates,Intimate,Swim
5612,155,Initmates,Intimate,Legwear
5613,705,General,Bottoms,Shorts
5636,35,Initmates,Intimate,Intimates
5682,410,Initmates,Intimate,Intimates
5692,207,Initmates,Intimate,Intimates
5708,880,General,Tops,Knits
5752,211,Initmates,Intimate,Intimates
5761,1119,General Petite,Jackets,Jackets
5770,690,Initmates,Intimate,Swim
5788,842,General,Tops,Blouses
5809,1088,General,Dresses,Dresses
5816,796,Initmates,Intimate,Lounge
5825,392,Initmates,Intimate,Swim
5834,916,General Petite,Tops,Fine gauge
5881,702,General,Bottoms,Shorts
5895,917,General,Tops,Fine gauge
5900,976,General,Jackets,Jackets
5932,201,Initmates,Intimate,Legwear
5934,1139,General,Trend,Trend
5993,1101,General Petite,Dresses,Dresses
6007,525,Initmates,Intimate,Swim
6064,891,General,Tops,Fine gauge
6101,5,General,Tops,Sweaters
6165,609,Initmates,Intimate,Layering
6180,494,General,Bottoms,Shorts
6181,138,Initmates,Intimate,Lounge
6204,1202,General Petite,Dresses,Dresses
6212,360,Initmates,Intimate,Lounge
6289,593,General,Trend,Trend
6317,938,General Petite,Tops,Sweaters
6332,385,Initmates,Intimate,Intimates
6340,77,Initmates,Intimate,Legwear
6358,246,Initmates,Intimate,Swim
6376,1144,General,Trend,Trend
6382,676,General,Bottoms,Shorts
6412,1000,General,Bottoms,Skirts
6417,295,Initmates,Intimate,Layering
6423,973,General Petite,Jackets,Jackets
6440,216,Initmates,Intimate,Lounge
6459,170,Initmates,Intimate,Sleep
6464,150,Initmates,Intimate,Sleep
6466,1184,General Petite,Tops,Knits
6559,336,Initmates,Intimate,Lounge
6563,124,Initmates,Intimate,Sleep
6615,292,Initmates,Intimate,Swim
6621,294,General Petite,Intimate,Lounge
6643,552,General,Trend,Trend
6715,179,Initmates,Intimate,Intimates
6721,1160,Initmates,Intimate,Layering
6804,255,Initmates,Intimate,Lounge
6811,688,Initmates,Intimate,Lounge
6827,384,Initmates,Intimate,Intimates
6830,313,Initmates,Intimate,Sleep
6834,934,General,Tops,Sweaters
6835,739,Initmates,Intimate,Lounge
6850,352,Initmates,Intimate,Intimates
6864,251,Initmates,Intimate,Lounge
6872,122,Initmates,Intimate,Sleep
6890,191,General,Bottoms,Shorts
6909,68,Initmates,Intimate,Layering
6912,511,Initmates,Intimate,Sleep
6917,615,General Petite,Bottoms,Pants
6918,928,General,Tops,Sweaters
6919,662,Initmates,Intimate,Lounge
6964,663,Initmates,Intimate,Lounge
6971,719,Initmates,Intimate,Lounge
6990,13,General,Dresses,Dresses
6994,324,General,Bottoms,Shorts
6999,641,General Petite,Intimate,Lounge
7007,1199,General Petite,Dresses,Dresses
7024,926,General,Tops,Sweaters
7053,379,Initmates,Intimate,Sleep
7061,366,Initmates,Intimate,Lounge
7080,645,Initmates,Intimate,Intimates
7122,114,Initmates,Intimate,Lounge
7126,1041,General,Bottoms,Pants
7131,340,General Petite,Intimate,Lounge
7142,1023,General,Bottoms,Jeans
7147,1130,General Petite,Jackets,Outerwear
7178,800,Initmates,Intimate,Intimates
7227,409,General,Bottoms,Shorts
7231,183,Initmates,Intimate,Legwear
7232,918,General Petite,Tops,Fine gauge
7248,118,Initmates,Intimate,Sleep
7290,1177,Initmates,Intimate,Swim
7323,151,Initmates,Intimate,Legwear
7324,766,Initmates,Intimate,Lounge
7328,874,General,Tops,Knits
7365,715,Initmates,Intimate,Lounge
7375,894,General,Tops,Fine gauge
7431,502,Initmates,Intimate,Swim
7436,338,Initmates,Intimate,Lounge
7439,30,General Petite,Dresses,Dresses
7449,439,Initmates,Intimate,Layering
7473,116,Initmates,Intimate,Sleep
7477,968,General,Jackets,Jackets
7505,105,Initmates,Intimate,Lounge
7517,747,Initmates,Intimate,Intimates
7547,549,Initmates,Intimate,Layering
7576,816,General,Tops,Blouses
7584,639,General Petite,Intimate,Lounge
7636,465,Initmates,Intimate,Swim
7639,1166,Initmates,Intimate,Swim
7643,475,Initmates,Intimate,Intimates
7661,405,General,Bottoms,Shorts
7674,189,Initmates,Intimate,Legwear
7730,635,General Petite,Intimate,Lounge
7759,346,Initmates,Intimate,Swim
7771,88,Initmates,Intimate,Intimates
7776,516,Initmates,Intimate,Swim
7824,137,Initmates,Intimate,Legwear
7826,956,General Petite,Jackets,Jackets
7841,478,General,Bottoms,Shorts
7876,1118,General,Jackets,Outerwear
7994,396,Initmates,Intimate,Swim
8045,612,General,Bottoms,Shorts
8048,998,General,Bottoms,Skirts
8056,406,Initmates,Intimate,Swim
8119,920,General,Tops,Fine gauge
8122,472,General Petite,Bottoms,Pants
8135,47,Initmates,Intimate,Swim
8137,323,General,Bottoms,Shorts
8154,71,Initmates,Intimate,Legwear
8162,790,Initmates,Intimate,Lounge
8206,427,Initmates,Intimate,Lounge
8209,177,General,Bottoms,Shorts
8213,627,Initmates,Intimate,Swim
8221,365,Initmates,Intimate,Lounge
8222,435,General Petite,Intimate,Lounge
8228,70,General,Bottoms,Shorts
8238,17,General,Dresses,Dresses
8262,1096,General,Dresses,Dresses
8292,113,Initmates,Intimate,Sleep
8397,134,General Petite,Intimate,Lounge
8445,205,Initmates,Intimate,Layering
8453,510,General Petite,Intimate,Lounge
8492,1152,General,Dresses,Dresses
8494,407,Initmates,Intimate,Swim
8499,397,Initmates,Intimate,Lounge
8518,651,Initmates,Intimate,Intimates
8524,991,General,Bottoms,Skirts
8525,312,Initmates,Intimate,Lounge
8547,247,Initmates,Intimate,Intimates
8577,774,Initmates,Intimate,Lounge
8581,260,Initmates,Intimate,Lounge
8582,496,General,Bottoms,Shorts
8583,243,Initmates,Intimate,Sleep
8594,1174,Initmates,Intimate,Swim
8605,279,General Petite,Intimate,Lounge
8745,1019,General,Bottoms,Skirts
8757,1151,General,Dresses,Dresses
8779,554,Initmates,Intimate,Sleep
8782,348,Initmates,Intimate,Swim
8824,359,Initmates,Intimate,Layering
8827,846,General Petite,Tops,Blouses
8828,283,Initmates,Intimate,Lounge
8845,725,Initmates,Intimate,Lounge
8871,83,Initmates,Intimate,Intimates
8882,785,Initmates,Intimate,Sleep
8917,337,Initmates,Intimate,Lounge
8923,102,Initmates,Intimate,Intimates
8947,951,General,Tops,Sweaters
8952,760,Initmates,Intimate,Intimates
8996,61,Initmates,Intimate,Layering
9004,971,General Petite,Jackets,Jackets
9019,57,Initmates,Intimate,Intimates
9025,1189,General,Bottoms,Jeans
9057,38,Initmates,Intimate,Intimates
9076,265,Initmates,Intimate,Sleep
9116,622,Initmates,Intimate,Lounge
9121,414,Initmates,Intimate,Sleep
9210,133,General,Bottoms,Shorts
9274,1176,Initmates,Intimate,Swim
9318,1039,General,Bottoms,Jeans
9390,318,Initmates,Intimate,Swim
9433,799,Initmates,Intimate,Intimates
9444,72,,,
9450,885,General,Tops,Knits
9458,162,Initmates,Intimate,Legwear
9540,879,General,Tops,Knits
9569,399,Initmates,Intimate,Lounge
9575,1148,General Petite,Bottoms,Jeans
9622,764,Initmates,Intimate,Lounge
9649,219,Initmates,Intimate,Swim
9721,545,Initmates,Intimate,Layering
9761,261,Initmates,Intimate,Layering
9780,741,Initmates,Intimate,Swim
9795,583,Initmates,Intimate,Lounge
9882,961,General,Jackets,Jackets
9887,794,Initmates,Intimate,Lounge
9888,588,General,Bottoms,Shorts
9968,1062,General,Bottoms,Pants
9972,990,General,Bottoms,Skirts
10003,589,General Petite,Bottoms,Pants
10021,960,General Petite,Jackets,Jackets
10061,1171,Initmates,Intimate,Swim
10071,498,General Petite,Intimate,Lounge
10121,560,General,Trend,Trend
10162,376,Initmates,Intimate,Lounge
10169,147,Initmates,Intimate,Sleep
10178,86,Initmates,Intimate,Intimates
10185,264,Initmates,Intimate,Legwear
10235,131,General,Bottoms,Shorts
10241,592,General,Bottoms,Shorts
10272,619,General,Bottoms,Shorts
10281,626,General Petite,Bottoms,Pants
10297,148,Initmates,Intimate,Sleep
10483,574,Initmates,Intimate,Layering
10490,254,Initmates,Intimate,Swim
10599,284,Initmates,Intimate,Intimates
10607,157,Initmates,Intimate,Legwear
10644,771,General Petite,Bottoms,Pants
10678,632,Initmates,Intimate,Lounge
10720,87,Initmates,Intimate,Intimates
10722,456,General,Bottoms,Shorts
10740,1067,General Petite,Bottoms,Pants
10741,477,Initmates,Intimate,Sleep
10751,704,Initmates,Intimate,Intimates
10772,209,0,Initmates,Intimate
10796,315,Initmates,Intimate,Swim
10801,22,General,Tops,Knits
10802,125,Initmates,Intimate,Layering
10810,437,General Petite,Bottoms,Pants
10858,743,Initmates,Intimate,Intimates
10875,119,Initmates,Intimate,Swim
10902,759,Initmates,Intimate,Lounge
10943,172,Initmates,Intimate,Sleep
10947,1107,General,Dresses,Dresses
11028,143,Initmates,Intimate,Layering
11043,12,General,Tops,Knits
11048,356,General Petite,Intimate,Lounge
11057,664,Initmates,Intimate,Sleep
11060,403,Initmates,Intimate,Swim
11064,791,Initmates,Intimate,Lounge
11074,628,Initmates,Intimate,Lounge
11078,90,Initmates,Intimate,Legwear
11086,208,Initmates,Intimate,Layering
11137,575,General,Trend,Trend
11189,375,Initmates,Intimate,Lounge
11190,111,Initmates,Intimate,Lounge
11201,558,Initmates,Intimate,Layering
11265,1045,General,Bottoms,Pants
11349,561,General Petite,Trend,Trend
11355,731,Initmates,Intimate,Lounge
11406,572,General,Trend,Trend
11456,701,Initmates,Intimate,Swim
11521,141,Initmates,Intimate,Legwear
11538,667,General Petite,Intimate,Lounge
11572,983,General,Jackets,Jackets
11650,693,General Petite,Intimate,Lounge
11666,901,General,Tops,Fine gauge
11670,682,Initmates,Intimate,Lounge
11686,457,Initmates,Intimate,Legwear
11758,518,Initmates,Intimate,Lounge
11788,695,Initmates,Intimate,Intimates
11821,1138,General,Trend,Trend
11843,333,General,Bottoms,Shorts
11893,196,Initmates,Intimate,Sleep
11912,78,Initmates,Intimate,Intimates
11917,342,Initmates,Intimate,Swim
11926,79,Initmates,Intimate,Swim
11941,473,General Petite,Bottoms,Pants
11986,804,Initmates,Intimate,Lounge
11988,602,General,Bottoms,Shorts
11991,303,Initmates,Intimate,Lounge
12032,776,Initmates,Intimate,Legwear
12053,668,Initmates,Intimate,Sleep
12073,633,General,Bottoms,Shorts
12080,734,General Petite,Intimate,Lounge
12090,501,Initmates,Intimate,Sleep
12101,711,Initmates,Intimate,Lounge
12105,629,General,Bottoms,Shorts
12130,519,Initmates,Intimate,Lounge
12140,563,General,Trend,Trend
12149,287,Initmates,Intimate,Lounge
12155,91,Initmates,Intimate,Sleep
12188,186,Initmates,Intimate,Legwear
12213,301,Initmates,Intimate,Swim
12247,110,Initmates,Intimate,Lounge
12250,112,General Petite,Intimate,Lounge
12254,377,Initmates,Intimate,Lounge
12280,488,Initmates,Intimate,Legwear
12287,258,Initmates,Intimate,Sleep
12292,509,Initmates,Intimate,Sleep
12294,569,General,Trend,Trend
12315,471,Initmates,Intimate,Swim
12318,1012,General Petite,Bottoms,Skirts
12344,415,Initmates,Intimate,Swim
12397,45,General,Bottoms,Casual bottoms
12421,267,Initmates,Intimate,Sleep
12463,1108,General,Dresses,Dresses
12474,1170,Initmates,Intimate,Swim
12476,605,General,Bottoms,Shorts
12486,48,Initmates,Intimate,Intimates
12517,175,Initmates,Intimate,Swim
12585,646,Initmates,Intimate,Lounge
12596,370,Initmates,Intimate,Lounge
12606,104,Initmates,Intimate,Lounge
12613,752,Initmates,Intimate,Sleep
12615,728,Initmates,Intimate,Legwear
12635,28,Initmates,Intimate,Swim
12642,1057,General Petite,Bottoms,Pants
12657,762,General Petite,Intimate,Lounge
12683,618,Initmates,Intimate,Swim
12685,210,Initmates,Intimate,Layering
12686,304,Initmates,Intimate,Lounge
12747,215,Initmates,Intimate,Legwear
12759,428,Initmates,Intimate,Swim
12760,423,Initmates,Intimate,Lounge
12791,703,General Petite,Bottoms,Pants
12802,555,General,Trend,Trend
12803,625,Initmates,Intimate,Swim
12817,300,Initmates,Intimate,Lounge
12863,74,Initmates,Intimate,Intimates
12882,733,General Petite,Intimate,Lounge
12890,540,General,Bottoms,Shorts
12945,444,Initmates,Intimate,Swim
12946,218,Initmates,Intimate,Swim
12948,736,Initmates,Intimate,Intimates
12955,103,Initmates,Intimate,Layering
12967,661,General Petite,Intimate,Lounge
12998,808,Initmates,Intimate,Lounge
13013,1192,5&amp,amp,amp
13020,692,Initmates,Intimate,Sleep
